product_id,product_name,category,machine_type,brand,model_compatibility,unit_cost,unit_price,margin_percentage,gst_rate,weight_kg,dimensions_cm,material_type,warranty_months,reorder_level,safety_stock,max_stock_level,lead_time_days,criticality_level,usage_frequency,uom,last_purchase_price,last_purchase_date,last_purchase_date_year,last_purchase_date_month
P021,Boom Cylinder Bc-400,Hydraulic,Excavator,Komatsu,Komatsu Pc210,35600,46200,29.8,28,48.0,130X18X18,Steel,12,5,3,20,26,High,Medium,Piece,35000,2024-09-30,2024,9
P022,Control Valve Cv-75,Hydraulic,Excavator,Cat,Cat 320D,12800,16900,32.0,28,7.8,35X25X20,Steel,12,10,5,30,18,High,Medium,Piece,12500,2024-11-22,2024,11
P023,Idler Wheel Iw-55,Undercarriage,Bulldozer,Volvo,Volvo D6,9200,12950,40.8,28,21.0,60X25X25,Steel,12,6,3,18,20,High,Medium,Piece,9000,2025-01-15,2025,1
P024,Track Roller Tr-60,Undercarriage,Bulldozer,Tata Hitachi,Tata Hitachi Ex 200,7400,10300,39.2,28,19.5,55X22X22,Steel,12,8,4,22,22,High,Medium,Piece,7200,2025-03-08,2025,3
P025,Cabin Glass Cg-20,Cabin,Excavator,Jcb,Jcb 3Dx,5600,7850,40.2,18,8.0,120X5X2,Glass,6,12,6,40,14,Medium,Low,Piece,5400,2025-04-27,2025,4
P026,Grease Cartridge Gc-5,Lubricants,All,Generic,All Models,180,310,72.2,18,0.45,25X6X6,Synthetic,3,200,100,500,4,Low,High,Cartridge,170,2020-04-02,2020,4
P027,O-Ring Set Or-50,Seals,All,Generic,All Models,260,480,84.6,18,0.2,8X8X4,Rubber,3,150,80,400,5,Low,High,Set,250,2021-09-14,2021,9
P028,Light Assembly La-18,Electrical,Loader,Generic,Jcb 3Dx,1450,2250,55.2,18,1.4,22X16X14,Plastic,6,40,20,100,9,Medium,Medium,Piece,1380,2022-02-18,2022,2
P029,Pressure Sensor Ps-90,Sensors,Excavator,Cat,Cat 320D,2750,3950,43.6,18,0.6,10X8X6,Steel,6,25,12,60,8,Medium,Medium,Piece,2650,2023-01-09,2023,1
P030,Fuel Pump Fp-350,Engine,Excavator,Volvo,Volvo Ec210,16400,21900,33.5,28,6.8,30X18X18,Alloy,12,10,5,25,18,High,Medium,Piece,16000,2024-08-21,2024,8
